GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
CDK6	NA	0	NA	0	NA	18259.6267481749	0	NA	0	NA	NA	NA	14321.1301783548	4649.14254470591	NA	NA	NA	NA	NA	NA	NA	NA
CEACAM3	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	1	501.108664741307	1	696.492158760019
CEACAM8	2.83475685222081	0	NA	0	0	NA	0	0	0	0	NA	11.7802732994364	NA	NA	0	0	NA	45.7959218595199	0	1.72475861223726	0	NA
CEMP1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFP	1089.46827834283	1	NA	231.449162709869	NA	1	NA	1	1	NA	NA	1	1003.99245796536	94.9643562412308	1	NA	NA	NA	NA	NA	NA	NA
CHI3L1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0	NA	0	0	NA
CHI3L2	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	1	760.353508700647	NA	1	NA	NA	NA	NA	1	NA
CHST15	1225.20700463878	NA	NA	NA	0	1962.32324795973	NA	0	NA	NA	0	NA	NA	1003.69151668258	NA	1490.18617675698	NA	NA	0	NA	0	NA
CHST7	NA	NA	NA	NA	NA	1	1	1	NA	1	1	NA	NA	705.602826742503	1	795.161148914862	NA	NA	NA	NA	NA	NA
CLC	47.3881407887681	NA	NA	NA	NA	0	NA	0	NA	NA	0	0	0	NA	0	NA	NA	0	0	2.37362257706513	NA	0
CLCA3P	0	0	NA	0	1.38774729085081	33.2209482048188	NA	NA	0	2.92039961045696	0	0	0	NA	NA	0	NA	NA	0	0	0	134.41270557818
CLEC10A	1653.34555631954	NA	NA	993.931935368306	NA	1101.39227697166	NA	0	NA	4562.96658037092	0	NA	1788.39815818547	NA	893.044712532584	NA	4865.1155153483	0	0	0	0	0
CLEC2D	1034.73477549223	5457.05785893299	NA	NA	NA	NA	849.757521372334	2355.36304179032	0	1270.29856276452	3267.56248021389	NA	NA	NA	NA	984.014917967187	NA	NA	NA	NA	NA	NA
CLEC4A	NA	1	NA	1	NA	1233.71792116006	NA	1	NA	NA	1	NA	2237.44092386502	459.088208619809	1378.09625957445	525.896759142892	NA	NA	1	1	1	NA
CLEC7A	NA	NA	NA	492.083876009873	NA	963.203434706677	NA	0	NA	NA	0	0	2493.68581438054	247.814092690475	1780.99945699358	NA	NA	NA	0	NA	0	NA
CLIC2	NA	4502.84583764529	NA	NA	NA	4161.48914850007	NA	0	0	5210.33085761219	NA	NA	NA	NA	6480.58906864222	NA	0	NA	NA	0	0	0
CMA1	0	0	NA	0	0	NA	0	0	0	0	0	0	0	NA	0	0	1585.82984704576	NA	725.433376674654	0	0	NA
COL8A2	NA	NA	NA	0	NA	3048.60778002868	0	0	NA	NA	0	NA	NA	1841.5631614022	NA	NA	NA	NA	4625.93090742569	NA	0	0
COLQ	946.400848191346	1409.55591480794	NA	0	840.614083201632	NA	0	NA	NA	NA	1341.07592085128	NA	NA	NA	NA	NA	NA	NA	477.126005573777	NA	0	0
CPA3	NA	0	NA	0	0	715.082779080418	NA	0	0	0	0	0	NA	267.517364913846	0	NA	3420.96586419024	5463.71205375126	2027.88941357772	0	0	NA
CR2	15946.7059172461	18448.4760945892	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CREB5	NA	NA	NA	0	NA	4104.14888634055	0	0	NA	NA	NA	NA	0	1593.18757282006	NA	NA	NA	NA	2541.78020383887	NA	0	NA
CRISP3	0	NA	NA	NA	0	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA
CRTAM	NA	NA	NA	940.541838672066	1	1	NA	1	NA	1	1	1	NA	1	NA	1	1	1	1	NA	1	1
CRYBB1	NA	NA	NA	1	NA	NA	1	1	NA	NA	1	1	1662.22110717897	170.537419823069	NA	449.040333224018	1	1	NA	1	NA	1
CSF1	0	9413.43942997943	NA	3700.32334084676	NA	6864.24042452744	0	0	NA	NA	NA	NA	25979.7657387387	3907.77765982511	NA	5741.44476607442	NA	0	0	NA	0	0
CSF2	NA	0	NA	NA	0	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1235.3122926781	0	NA
CSF3R	NA	0	NA	711.830681867834	0	NA	0	0	NA	NA	NA	NA	2479.6126770482	235.3992246247	NA	NA	0	0	NA	6886.39035240501	NA	10692.1358192749
CST7	0	NA	NA	16600.7263616594	0	0	NA	NA	0	NA	0	NA	NA	NA	0	0	NA	0	0	NA	0	NA
CTLA4	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	0	0	0	NA	0	NA	NA	NA
CTSG	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	1346.79798930116	0	NA	5246.73408580032	NA	NA	0	0	NA
CTSW	1	NA	NA	6760.45338658585	1	1	NA	1	NA	NA	NA	1	NA	NA	1	1	1	1	1	NA	1	1
CXCL10	0	0	NA	20758.9250496546	0	0	24552.6879042753	0	0	NA	NA	0	NA	0	74919.3846716734	0	0	0	0	NA	0	0
CXCL11	0	0	NA	NA	0	0	4767.93411146014	0	0	8390.24819124023	NA	0	NA	0	9873.34913036817	0	0	NA	0	0	0	0
